name;class;attribute;value1;attribute;value2
NA-CAN-SK;Node;Longitude;-105.7201986;Latitude;54.86496979
NA-CRI;Node;Longitude;-83.753428;Latitude;9.748917
NA-CUB;Node;Longitude;-77.781167;Latitude;21.521757
NA-DOM;Node;Longitude;-70.162651;Latitude;18.735693
NA-GRL;Node;Longitude;-44.72083045;Latitude;60.27083225
NA-GTM;Node;Longitude;-90.230759;Latitude;15.783471
NA-HND;Node;Longitude;-86.241905;Latitude;15.199999
NA-HTI;Node;Longitude;-72.285215;Latitude;18.971187
NA-JAM;Node;Longitude;-77.297508;Latitude;18.109581
NA-MEX;Node;Longitude;-102.552784;Latitude;23.634501
NA-NIC;Node;Longitude;-85.207229;Latitude;12.865416
NA-PAN;Node;Longitude;-80.782127;Latitude;8.537981
NA-SLV;Node;Longitude;-88.89653;Latitude;13.794185
NA-TTO;Node;Longitude;-61.222503;Latitude;10.691803
NA-USA-AK;Node;Longitude;-149.680909;Latitude;64.4459613
NA-USA-AZ;Node;Longitude;-109.0592419;Latitude;34.2044192
NA-USA-CA;Node;Longitude;-119.6676575;Latitude;36.44489851
NA-USA-ER;Node;Longitude;-98.89911995;Latitude;30.56846807
NA-USA-FR;Node;Longitude;-81.51437149;Latitude;28.13633345
NA-USA-GU;Node;Longitude;144.757551;Latitude;13.4501257
NA-USA-HA;Node;Longitude;-155.5240397;Latitude;19.64486415
NA-USA-ME;Node;Longitude;-88.95872459;Latitude;44.50140222
NA-USA-MW;Node;Longitude;-96.86819547;Latitude;45.16606054
NA-USA-NE;Node;Longitude;-70.94247952;Latitude;43.38845563
NA-USA-NW;Node;Longitude;-114.0184311;Latitude;43.03478108
NA-USA-NY;Node;Longitude;-74.82555729;Latitude;42.76390046
NA-USA-PR;Node;Longitude;-66.4132819;Latitude;18.2214172
NA-USA-RA;Node;Longitude;-104.9860251;Latitude;39.6494848
NA-USA-RE;Node;Longitude;-75.66434481;Latitude;40.74764549
NA-USA-RM;Node;Longitude;-84.55889322;Latitude;43.21343196
NA-USA-RW;Node;Longitude;-82.37922289;Latitude;39.77489977
NA-USA-SA;Node;Longitude;-91.21363287;Latitude;32.92675269
NA-USA-SC;Node;Longitude;-85.35131102;Latitude;36.48427982
NA-USA-SE;Node;Longitude;-85.0964797;Latitude;32.29718216
NA-USA-SN;Node;Longitude;-96.30244856;Latitude;38.4721718
NA-USA-SS;Node;Longitude;-96.93527822;Latitude;35.25588816
NA-USA-SV;Node;Longitude;-79.22540312;Latitude;35.38068837
NA-USA-SW;Node;Longitude;-90.70388441;Latitude;38.78061827
OC-AUS-NT;Node;Longitude;133.9781286;Latitude;-20.61853245
OC-AUS-QL;Node;Longitude;145.1797201;Latitude;-24.27377189
OC-AUS-SA;Node;Longitude;135.902796;Latitude;-30.81488295
OC-AUS-SW;Node;Longitude;147.0846464;Latitude;-32.79438763
OC-AUS-TA;Node;Longitude;146.6723518;Latitude;-42.1422055
OC-AUS-VI;Node;Longitude;144.9631608;Latitude;-37.8142176
OC-AUS-WA;Node;Longitude;122.0931532;Latitude;-26.1414604
OC-NZL;Node;Longitude;174.885971;Latitude;-40.900557
OC-PNG;Node;Longitude;143.95555;Latitude;-6.314993
SA-ARG;Node;Longitude;-63.616672;Latitude;-38.416097
SA-BOL;Node;Longitude;-63.588653;Latitude;-16.290154
SA-BRA-CN;Node;Longitude;-48.83864086;Latitude;-6.238798711
SA-BRA-CW;Node;Longitude;-54.11724653;Latitude;-15.38028118
SA-BRA-J1;Node;Longitude;-49.243276;Latitude;-24.575436
SA-BRA-J2;Node;Longitude;-45.553542;Latitude;-8.285787
SA-BRA-J3;Node;Longitude;-57.750157;Latitude;-5.566783
SA-BRA-NE;Node;Longitude;-40.34262266;Latitude;-10.28358233
SA-BRA-NW;Node;Longitude;-63.70868945;Latitude;-3.582110925
SA-BRA-SE;Node;Longitude;-44.42656779;Latitude;-20.18228792
SA-BRA-SO;Node;Longitude;-51.93972197;Latitude;-28.46906244
SA-BRA-WE;Node;Longitude;-66.14865208;Latitude;-9.71498603
SA-CHL;Node;Longitude;-71.542969;Latitude;-35.675147
SA-COL;Node;Longitude;-74.297333;Latitude;4.570868
SA-ECU;Node;Longitude;-78.183406;Latitude;-1.831239
SA-GUY;Node;Longitude;-58.93018;Latitude;4.860416
SA-PER;Node;Longitude;-75.015152;Latitude;-9.189967
SA-PRY;Node;Longitude;-58.443832;Latitude;-23.442503
SA-SUR;Node;Longitude;-56.027783;Latitude;3.919305
SA-URY;Node;Longitude;-55.765835;Latitude;-32.522779
SA-VEN;Node;Longitude;-66.58973;Latitude;6.42375
